"id","polygonid","name","pop","type","wkt","link","notes"
1,Limassol_SwrCat,Limassol,240.8,swrCat,"","",None
2,Paphos_SwrCat,Paphos,120.1,swrCat,"","",None
3,Paralimni_SwrCat,Paralimni,68.75,swrCat,"","",None
4,Ayia Napa_SwrCat,Ayia Napa,56.25,swrCat,"","",None
5,Anthoupolis-B_SwrCat,Nicosia,35.905,swrCat,"","",None
6,Larnaca_SwrCat,Larnaca,80.803,swrCat,"","",None
7,Vathia-Gonia-A_SwrCat,Nicosia,63.324,swrCat,"","",None
