"id","sampleid","submited_datetime","datestart","dateend","notes","type","collection","location_id","loginname_id"
406,LIM_25042022,2022-04-29 14:48:54,2022-04-24,2022-04-25,Influent samples,rawWW,cpTP24h,1,6
468,LIM_28042022,2022-05-13 11:57:35,2022-04-27,2022-04-28,Influent samples,rawWW,cpTP24h,1,6
467,LIM_02052022,2022-05-13 11:56:21,2022-05-01,2022-05-02,Influent samples,rawWW,cpTP24h,1,6
465,LIM_05052022,2022-05-13 11:51:56,2022-05-04,2022-05-05,Influent samples,rawWW,cpTP24h,1,6
466,LIM_09052022,2022-05-13 11:52:39,2022-05-08,2022-05-09,Influent samples,rawWW,cpTP24h,1,6
419,LAR_28042022,2022-05-06 12:30:48,2022-04-27,2022-04-28,Influent Sample,rawWW,cpTP24h,6,6
469,LAR_05052022,2022-05-13 11:58:31,2022-05-04,2022-05-05,Influent samples,rawWW,cpTP24h,6,6
470,LAR_09052022,2022-05-13 12:02:05,2022-05-08,2022-05-09,Influent samples,rawWW,cpTP24h,6,6
424,VAT_02052022,2022-05-06 12:56:13,2022-05-01,2022-05-02,Influent Samples,rawWW,cpTP24h,7,6
428,PAR_02052022,2022-05-06 13:03:56,2022-05-01,2022-05-02,Influent Samples,rawWW,cpTP24h,3,6
430,AYI_02052022,2022-05-06 13:05:43,2022-05-01,2022-05-02,Influent Samples,rawWW,cpTP24h,4,6
474,PAF_05052022,2022-05-13 12:07:25,2022-05-04,2022-05-05,Influent samples,rawWW,cpTP24h,2,6
475,PAF_09052022,2022-05-13 12:08:07,2022-05-08,2022-05-09,Influent samples,rawWW,cpTP24h,2,6
481,LAR_05052022,2022-05-16 11:41:37,2022-05-04,2022-05-05,Influent samples,rawWW,cpTP24h,6,6
482,LAR_09052022,2022-05-16 11:42:21,2022-05-08,2022-05-09,Influent samples,rawWW,cpTP24h,6,6
483,PAF_05052022,2022-05-16 11:44:36,2022-05-04,2022-05-05,Influent samples,rawWW,cpTP24h,2,6
484,PAF_09052022,2022-05-16 11:46:10,2022-05-08,2022-05-09,Influent samples,rawWW,cpTP24h,2,6
485,PAR_04042022,2022-05-16 11:47:04,2022-04-03,2022-04-04,Influent samples,rawWW,cpTP24h,3,6
486,PAR_07042022,2022-05-16 11:48:17,2022-04-06,2022-04-07,Influent samples,rawWW,cpTP24h,3,6
487,PAR_11042022,2022-05-16 11:49:02,2022-04-10,2022-04-11,Influent samples,rawWW,cpTP24h,3,6
488,PAR_14042022,2022-05-16 11:50:06,2022-04-13,2022-04-14,Influent samples,rawWW,cpTP24h,3,6
489,PAR_18042022,2022-05-16 11:50:40,2022-04-17,2022-04-18,Influent samples,rawWW,cpTP24h,3,6
490,PAR_21042022,2022-05-16 11:51:23,2022-04-20,2022-04-21,Influent samples,rawWW,cpTP24h,3,6
491,PAR_25042022,2022-05-16 11:51:59,2022-04-24,2022-04-25,Influent samples,rawWW,cpTP24h,3,6
492,PAR_28042022,2022-05-16 11:52:22,2022-04-27,2022-04-28,Influent samples,rawWW,cpTP24h,3,6
493,AYI_04042022,2022-05-16 11:54:38,2022-04-03,2022-04-04,Influent samples,rawWW,cpTP24h,4,6
494,AYI_07042022,2022-05-16 11:55:07,2022-04-06,2022-04-07,Influent samples,rawWW,cpTP24h,4,6
495,AYI_11042022,2022-05-16 11:55:34,2022-04-10,2022-04-11,Influent samples,rawWW,cpTP24h,4,6
496,AYI_14042022,2022-05-16 11:56:05,2022-04-13,2022-04-14,Influent samples,rawWW,cpTP24h,4,6
497,AYI_18042022,2022-05-16 11:56:45,2022-04-17,2022-04-18,Influent samples,rawWW,cpTP24h,4,6
498,AYI_21042022,2022-05-16 11:57:17,2022-04-20,2022-04-21,Influent samples,rawWW,cpTP24h,4,6
499,AYI_25042022,2022-05-16 11:57:53,2022-04-24,2022-04-25,Influent samples,rawWW,cpTP24h,4,6
500,AYI_28042022,2022-05-16 11:58:22,2022-04-27,2022-04-28,Influent samples,rawWW,cpTP24h,4,6
538,AYI_23052022,2022-05-27 11:23:59,2022-05-22,2022-05-23,Influent samples,rawWW,cpTP24h,4,6
473,VAT_09052022,2022-05-13 12:05:43,2022-05-08,2022-05-09,Influent samples,rawWW,cpTP24h,7,6
506,ANT_09052022,2022-05-16 16:43:47,2022-05-08,2022-05-09,check - <LOD,rawWW,cpTP24h,5,6
512,ANT_12052022,2022-05-20 14:19:18,2022-05-11,2022-05-12,Influent samples,rawWW,cpTP24h,5,6
513,ANT_16052022,2022-05-20 14:19:55,2022-05-15,2022-05-16,Influent samples,rawWW,cpTP24h,5,6
530,ANT_19052022,2022-05-27 11:10:35,2022-05-18,2022-05-19,Influent samples,rawWW,cpTP24h,5,6
544,ANT_26052022,2022-06-03 09:47:21,2022-05-25,2022-05-26,Influent samples,rawWW,cpTP24h,5,6
508,LIM_12052022,2022-05-20 14:14:39,2022-05-11,2022-05-12,Influent samples,rawWW,cpTP24h,1,6
532,VAT_23052022,2022-05-27 11:18:56,2022-05-22,2022-05-23,Influent samples,rawWW,cpTP24h,7,6
526,LIM_19052022,2022-05-27 10:56:26,2022-05-18,2022-05-19,Influent samples,rawWW,cpTP24h,1,6
527,LIM_23052022,2022-05-27 11:05:51,2022-05-22,2022-05-23,Influent samples,rawWW,cpTP24h,1,6
540,LIM_26052022,2022-06-03 09:43:46,2022-05-25,2022-05-26,Influent samples,rawWW,cpTP24h,1,6
541,LIM_30052022,2022-06-03 09:44:27,2022-05-29,2022-05-30,Influent samples,rawWW,cpTP24h,1,6
554,LIM_02062022,2022-06-10 13:44:27,2022-06-01,2022-06-02,Influent samples,rawWW,cpTP24h,1,6
555,LIM_06062022,2022-06-10 13:45:06,2022-06-05,2022-06-06,Influent samples,rawWW,cpTP24h,1,6
510,LAR_12052022,2022-05-20 14:17:48,2022-05-11,2022-05-12,Influent samples,rawWW,cpTP24h,6,6
511,LAR_16052022,2022-05-20 14:18:17,2022-05-15,2022-05-16,Influent samples,rawWW,cpTP24h,6,6
528,LAR_19052022,2022-05-27 11:06:45,2022-05-18,2022-05-19,Influent samples,rawWW,cpTP24h,6,6
529,LAR_23052022,2022-05-27 11:07:30,2022-05-22,2022-05-23,Influent samples,rawWW,cpTP24h,6,6
542,LAR_26052022,2022-06-03 09:45:25,2022-05-25,2022-05-26,Influent samples,rawWW,cpTP24h,6,6
543,LAR_30052022,2022-06-03 09:46:11,2022-05-29,2022-05-30,Influent samples,rawWW,cpTP24h,6,6
556,LAR_02062022,2022-06-10 13:45:45,2022-06-01,2022-06-02,Influent samples,rawWW,cpTP24h,6,6
557,LAR_06062022,2022-06-10 13:46:21,2022-06-05,2022-06-06,Influent samples,rawWW,cpTP24h,6,6
558,ANT_02062022,2022-06-10 13:46:54,2022-06-01,2022-06-02,Influent samples,rawWW,cpTP24h,5,6
514,VAT_12052022,2022-05-20 14:22:26,2022-05-11,2022-05-12,Influent samples,rawWW,cpTP24h,7,6
515,VAT_16052022,2022-05-20 14:25:08,2022-05-15,2022-05-16,,rawWW,cpTP24h,7,6
531,VAT_19052022,2022-05-27 11:18:18,2022-05-18,2022-05-19,Influent samples,rawWW,cpTP24h,7,6
509,LIM_16052022,2022-05-20 14:16:48,2022-05-15,2022-05-16,Influent samples,rawWW,cpTP24h,1,6
546,VAT_26052022,2022-06-03 09:49:09,2022-05-25,2022-05-26,Influent samples,rawWW,cpTP24h,7,6
547,VAT_30052022,2022-06-03 09:49:49,2022-05-29,2022-05-30,Influent samples,rawWW,cpTP24h,7,6
516,PAF_12052022,2022-05-20 14:32:45,2022-05-11,2022-05-12,Influent samples,rawWW,cpTP24h,2,6
517,PAF_16052022,2022-05-20 14:33:58,2022-05-15,2022-05-16,Influent samples,rawWW,cpTP24h,2,6
533,PAF_19052022,2022-05-27 11:19:48,2022-05-18,2022-05-19,Influent samples,rawWW,cpTP24h,2,6
548,PAF_26052022,2022-06-03 09:54:04,2022-05-25,2022-05-26,Influent samples,rawWW,cpTP24h,2,6
549,PAF_30052022,2022-06-03 09:55:03,2022-05-29,2022-05-30,Influent samples,rawWW,cpTP24h,2,6
478,PAR_05052022,2022-05-13 12:11:48,2022-05-04,2022-05-05,Influent samples,rawWW,cpTP24h,3,6
479,PAR_09052022,2022-05-13 12:12:25,2022-05-08,2022-05-09,Influent samples,rawWW,cpTP24h,3,6
518,PAR_12052022,2022-05-20 14:34:46,2022-05-11,2022-05-12,Influent samples,rawWW,cpTP24h,3,6
519,PAR_16052022,2022-05-20 14:35:18,2022-05-15,2022-05-16,Influent samples,rawWW,cpTP24h,3,6
535,PAR_19052022,2022-05-27 11:21:57,2022-05-18,2022-05-19,Influent samples,rawWW,cpTP24h,3,6
536,PAR_23052022,2022-05-27 11:22:35,2022-05-22,2022-05-23,Influent samples,rawWW,cpTP24h,3,6
550,PAR_26052022,2022-06-03 09:58:04,2022-05-25,2022-05-26,Influent samples,rawWW,cpTP24h,3,6
551,PAR_30052022,2022-06-03 09:59:07,2022-05-29,2022-05-30,Influent samples,rawWW,cpTP24h,3,6
476,AYI_05052022,2022-05-13 12:09:37,2022-05-04,2022-05-05,Influent samples,rawWW,cpTP24h,4,6
477,AYI_09052022,2022-05-13 12:10:11,2022-05-08,2022-05-09,Influent samples,rawWW,cpTP24h,4,6
520,AYI_12052022,2022-05-20 14:37:40,2022-05-11,2022-05-12,Influent samples,rawWW,cpTP24h,4,6
521,AYI_16052022,2022-05-20 14:38:12,2022-05-15,2022-05-16,Influent samples,rawWW,cpTP24h,4,6
537,AYI_19052022,2022-05-27 11:23:20,2022-05-18,2022-05-19,Influent samples,rawWW,cpTP24h,4,6
552,AYI_26052022,2022-06-03 09:59:47,2022-05-25,2022-05-26,Influent samples,rawWW,cpTP24h,4,6
553,AYI_30052022,2022-06-03 10:00:22,2022-05-29,2022-05-30,Influent samples,rawWW,cpTP24h,4,6
471,ANT_05052022,2022-05-13 12:03:50,2022-05-04,2022-05-05,Influent samples,rawWW,cpTP24h,5,6
545,ANT_30052022,2022-06-03 09:48:20,2022-05-29,2022-05-30,Influent samples,rawWW,cpTP24h,5,6
573,ANT_15062022,2022-06-17 15:02:27,2022-06-14,2022-06-15,Influent samples,rawWW,cpTP24h,5,6
613,LIM_04072022,2022-07-08 09:53:27,2022-07-03,2022-07-04,Influent Samples,rawWW,cpTP24h,1,6
615,LAR_04072022,2022-07-08 10:02:44,2022-07-03,2022-07-04,Influent Samples,rawWW,cpTP24h,6,2
628,LAR_07072022,2022-07-15 13:36:30,2022-07-06,2022-07-07,Influent Samples,rawWW,cpTP24h,6,2
629,LAR_11072022,2022-07-15 13:38:24,2022-07-10,2022-07-11,Influent Samples,rawWW,cpTP24h,6,2
631,ANT_11072022,2022-07-15 13:42:59,2022-07-10,2022-07-11,Influent Samples,rawWW,cpTP24h,5,2
569,LIM_13062022,2022-06-17 14:59:25,2022-06-12,2022-06-13,Influent samples,rawWW,cpTP24h,1,6
583,LIM_16062022,2022-06-24 11:51:21,2022-06-15,2022-06-16,Influent samples,rawWW,cpTP24h,1,6
584,LIM_20062022,2022-06-24 11:51:55,2022-06-19,2022-06-20,Influent samples,rawWW,cpTP24h,1,6
597,LIM_23062022,2022-06-30 15:40:55,2022-06-22,2022-06-23,Influent samples,rawWW,cpTP24h,1,6
598,LIM_27062022,2022-06-30 15:41:34,2022-06-26,2022-06-27,Influent samples,rawWW,cpTP24h,1,6
612,LIM_30062022,2022-07-08 09:52:01,2022-06-29,2022-06-30,Influent Samples,rawWW,cpTP24h,1,6
626,LIM_07072022,2022-07-15 13:32:47,2022-07-06,2022-07-07,Influent Samples,rawWW,cpTP24h,1,6
627,LIM_11072022,2022-07-15 13:34:04,2022-07-10,2022-07-11,Influent Samples,rawWW,cpTP24h,1,6
570,LAR_09062022,2022-06-17 15:00:05,2022-06-08,2022-06-09,Influent samples,rawWW,cpTP24h,6,6
571,LAR_13062022,2022-06-17 15:00:42,2022-06-12,2022-06-13,Influent samples,rawWW,cpTP24h,6,6
586,LAR_20062022,2022-06-24 11:57:58,2022-06-19,2022-06-20,Influent samples,rawWW,cpTP24h,6,6
585,LAR_16062022,2022-06-24 11:57:23,2022-06-15,2022-06-16,Influent samples,rawWW,cpTP24h,6,6
599,LAR_23062022,2022-06-30 15:42:25,2022-06-22,2022-06-23,Influent samples,rawWW,cpTP24h,6,6
600,LAR_27062022,2022-06-30 15:43:00,2022-06-26,2022-06-27,Influent samples,rawWW,cpTP24h,6,6
567,ANT_06062022,2022-06-10 13:56:01,2022-06-05,2022-06-06,Influent samples,rawWW,cpTP24h,5,6
572,ANT_09062022,2022-06-17 15:01:36,2022-06-08,2022-06-09,Influent samples,rawWW,cpTP24h,5,6
587,ANT_16062022,2022-06-24 11:58:51,2022-06-15,2022-06-16,Influent samples,rawWW,cpTP24h,5,6
588,ANT_20062022,2022-06-24 11:59:20,2022-06-19,2022-06-20,Influent samples,rawWW,cpTP24h,5,6
601,ANT_23062022,2022-06-30 15:43:51,2022-06-22,2022-06-23,Influent samples,rawWW,cpTP24h,5,6
602,ANT_27062022,2022-06-30 15:44:22,2022-06-26,2022-06-27,Influent samples,rawWW,cpTP24h,5,6
616,ANT_30062022,2022-07-08 10:04:07,2022-06-29,2022-06-30,Influent Samples,rawWW,cpTP24h,5,6
617,ANT_04072022,2022-07-08 10:05:10,2022-07-03,2022-07-04,Influent Samples,rawWW,cpTP24h,5,6
630,ANT_07072022,2022-07-15 13:41:43,2022-07-06,2022-07-07,Influent Samples,rawWW,cpTP24h,5,6
559,VAT_02062022,2022-06-10 13:48:20,2022-06-01,2022-06-02,Influent samples,rawWW,cpTP24h,7,6
560,VAT_06062022,2022-06-10 13:49:59,2022-06-05,2022-06-06,Influent samples,rawWW,cpTP24h,7,6
574,VAT_09062022,2022-06-17 15:03:45,2022-06-08,2022-06-09,Influent samples,rawWW,cpTP24h,7,6
575,VAT_13062022,2022-06-17 15:04:20,2022-06-12,2022-06-13,Influent samples,rawWW,cpTP24h,7,6
589,VAT_16062022,2022-06-24 12:00:05,2022-06-15,2022-06-16,Influent samples,rawWW,cpTP24h,7,6
590,VAT_20062022,2022-06-24 12:03:18,2022-06-19,2022-06-20,Influent samples,rawWW,cpTP24h,7,6
603,VAT_23062022,2022-06-30 15:45:09,2022-06-22,2022-06-23,Influent samples,rawWW,cpTP24h,7,6
604,VAT_27062022,2022-06-30 15:45:53,2022-06-26,2022-06-27,Influent samples,rawWW,cpTP24h,7,6
618,VAT_30062022,2022-07-08 10:06:41,2022-06-29,2022-06-30,Influent Samples,rawWW,cpTP24h,7,6
619,VAT_04072022,2022-07-08 10:07:44,2022-07-03,2022-07-04,Influent Samples,rawWW,cpTP24h,7,6
561,PAF_02062022,2022-06-10 13:51:03,2022-06-01,2022-06-02,Influent samples,rawWW,cpTP24h,2,6
562,PAF_06062022,2022-06-10 13:51:43,2022-06-05,2022-06-06,Influent samples,rawWW,cpTP24h,2,6
577,PAF_09062022,2022-06-17 15:06:40,2022-06-08,2022-06-09,Influent samples,rawWW,cpTP24h,2,6
592,PAF_20062022,2022-06-24 12:13:18,2022-06-19,2022-06-20,Influent samples,rawWW,cpTP24h,2,6
605,PAF_23062022,2022-06-30 15:46:49,2022-06-22,2022-06-23,Influent samples,rawWW,cpTP24h,2,6
606,PAF_27062022,2022-06-30 15:47:31,2022-06-26,2022-06-27,Influent samples,rawWW,cpTP24h,2,6
591,PAF_16062022,2022-06-24 12:12:41,2022-06-15,2022-06-16,Influent samples,rawWW,cpTP24h,2,6
620,PAF_30062022,2022-07-08 10:10:23,2022-06-29,2022-06-30,Influent Samples,rawWW,cpTP24h,2,6
621,PAF_04072022,2022-07-08 10:11:18,2022-07-03,2022-07-04,Influent Samples,rawWW,cpTP24h,2,6
563,PAR_02062022,2022-06-10 13:52:33,2022-06-01,2022-06-02,Influent samples,rawWW,cpTP24h,3,6
