"id","name"
1,Delta (B.1.617.2-like)
2,undetermined
3,Probable Omicron (BA.1 - like)
4,B.1.1.526 like
5,Probable Omicron (Unassigned)
6,Omicron (Unassigned)
7,Omicron (BA.2-like)
8,Probable Omicron (BA.2-like)
9,Omicron
10,Probable Omicron
