"id","sampleid","Lineage","comment","submited_datetime","datestart","dateend","VariantType_id","location_id","loginname_id"
80,PAF_24032022,BA.2,,2022-04-13 20:09:41,2022-03-23,2022-03-24,7,2,3
81,PAR_14032022,undetermined,,2022-04-13 20:10:11,2022-03-13,2022-03-14,5,3,3
82,PAR_28032022,undetermined,,2022-04-13 20:10:29,2022-03-27,2022-03-28,5,3,3
83,AYI_14032022,BA.2,,2022-04-13 20:10:48,2022-03-13,2022-03-14,8,4,3
84,AYI_24032022,BA.2,,2022-04-13 20:11:12,2022-03-23,2022-03-24,8,4,3
85,ANT_31032022,BA.2,,2022-05-13 16:50:09,2022-03-30,2022-03-31,8,5,3
87,VAT_31032022,BA.2,,2022-05-13 16:51:06,2022-03-30,2022-03-31,8,7,3
88,VAT_21042022,BA.2,,2022-05-13 16:51:35,2022-04-20,2022-04-21,8,7,3
89,LAR_28042022,BA.2,,2022-05-13 16:52:07,2022-04-27,2022-04-28,8,6,3
90,LAR_31032022,BA.2,,2022-05-13 16:52:39,2022-03-30,2022-03-31,8,6,3
91,LIM_31032022,BA.2,,2022-05-13 16:53:29,2022-03-30,2022-03-31,7,1,3
92,LIM_04042022,BA.2,,2022-05-13 16:54:32,2022-04-03,2022-04-04,8,1,3
93,PAF_31032022,BA.2,,2022-05-13 16:55:08,2022-03-30,2022-03-31,8,2,3
94,PAF_04042022,BA.2,,2022-05-13 16:55:27,2022-04-03,2022-04-04,8,2,3
95,PAR_04042022,BA.2,,2022-05-13 16:55:45,2022-04-03,2022-04-04,8,3,3
96,PAR_07042022,BA.2,,2022-05-13 16:56:07,2022-04-06,2022-04-07,7,3,3
97,AYI_31032022,BA.2,,2022-05-13 16:56:29,2022-03-30,2022-03-31,8,4,3
98,AYI_11042022,BA.2,,2022-05-13 16:56:48,2022-04-10,2022-04-11,8,4,3
99,ANT_26052022,BA.2,,2022-06-24 20:44:04,2022-05-25,2022-05-26,8,5,3
100,ANT_30052022,BA.2,,2022-06-24 20:44:19,2022-05-29,2022-05-30,8,5,3
101,VAT_26052022,BA.2,,2022-06-24 20:44:39,2022-05-25,2022-05-26,8,7,3
102,VAT_30052022,BA.2,,2022-06-24 20:44:58,2022-05-29,2022-05-30,7,7,3
103,LAR_26052022,BA.2,,2022-06-24 20:45:14,2022-05-25,2022-05-26,8,6,3
104,LAR_30052022,BA.2,,2022-06-24 20:45:34,2022-05-29,2022-05-30,8,6,3
105,LIM_09052022,BA.2,,2022-06-24 20:45:54,2022-05-08,2022-05-09,8,1,3
106,LIM_12052022,undetermined,,2022-06-24 20:46:14,2022-05-11,2022-05-12,2,1,3
107,PAF_09052022,BA.2,,2022-06-24 20:46:51,2022-05-08,2022-05-09,8,2,3
108,PAF_19052022,BA.2,,2022-06-24 20:47:09,2022-05-18,2022-05-19,8,2,3
109,PAR_26052022,undetermined,,2022-06-24 20:47:32,2022-05-25,2022-05-26,2,3,3
110,PAR_30052022,BA.2,,2022-06-24 20:47:47,2022-05-29,2022-05-30,8,3,3
111,AYI_05052022,BA.2,,2022-06-24 20:48:02,2022-05-04,2022-05-05,8,4,3
112,AYI_09052022,BA.2,,2022-06-24 20:48:17,2022-05-08,2022-05-09,8,4,3
113,ANT_06062022,undetermined,,2022-07-15 10:50:15,2022-06-05,2022-06-06,2,5,3
114,ANT_20062022,BA.5.1,,2022-07-15 10:50:49,2022-06-19,2022-06-20,9,5,3
115,VAT_06062022,BA.2,,2022-07-15 10:51:19,2022-06-05,2022-06-06,9,7,3
116,VAT_27062022,BA.5,,2022-07-15 10:52:05,2022-06-26,2022-06-27,9,7,3
117,LAR_16062022,BA.5,,2022-07-15 10:52:50,2022-06-15,2022-06-16,10,6,3
118,LAR_27062022,BA.5,,2022-07-15 10:53:06,2022-06-26,2022-06-27,10,6,3
119,LIM_23062022,BA.5,,2022-07-15 10:53:30,2022-06-22,2022-06-23,9,1,3
120,LIM_27062022,BA.5,,2022-07-15 10:53:51,2022-06-26,2022-06-27,10,1,3
121,PAF_09062022,BA.5.1,,2022-07-15 10:54:24,2022-06-08,2022-06-09,9,2,3
122,PAF_27062022,BA.5,,2022-07-15 10:54:50,2022-06-26,2022-06-27,9,2,3
123,PAR_23062022,BA.5.1,,2022-07-15 10:55:33,2022-06-22,2022-06-23,10,3,3
124,PAR_27062022,BA.5,,2022-07-15 10:56:06,2022-06-26,2022-06-27,10,3,3
125,AYI_23062022,BA.5,,2022-07-15 10:57:02,2022-06-22,2022-06-23,9,4,3
126,AYI_27062022,BA.5,,2022-07-15 10:58:13,2022-06-26,2022-06-27,9,4,3
127,ANT_07072022,BA.5,,2022-08-19 12:51:01,2022-07-06,2022-07-07,10,5,3
128,ANT_11072022,BA.5,,2022-08-19 12:51:18,2022-07-10,2022-07-11,9,5,3
129,VAT_07072022,BA.5,,2022-08-19 12:51:36,2022-07-06,2022-07-07,10,7,3
130,VAT_11072022,BA.5,,2022-08-19 12:51:51,2022-07-10,2022-07-11,10,7,3
131,LAR_07072022,undetermined,,2022-08-19 12:52:13,2022-07-06,2022-07-07,2,6,3
132,LAR_11072022,BA.5,,2022-08-19 12:52:30,2022-07-10,2022-07-11,10,6,3
133,LIM_07072022,BA.5,,2022-08-19 12:52:50,2022-07-06,2022-07-07,10,1,3
134,LIM_14072022,BA.5,,2022-08-19 12:53:07,2022-07-13,2022-07-14,9,1,3
135,PAF_11072022,BA.5,,2022-08-19 12:53:24,2022-07-10,2022-07-11,9,2,3
136,PAF_14072022,BA.5,,2022-08-19 12:53:37,2022-07-13,2022-07-14,9,2,3
137,PAR_07072022,BA.5,,2022-08-19 12:53:54,2022-07-06,2022-07-07,10,3,3
138,PAR_11072022,undetermined,,2022-08-19 12:54:10,2022-07-10,2022-07-11,2,3,3
139,AYI_07072022,BA.5,,2022-08-19 12:54:24,2022-07-06,2022-07-07,9,4,3
140,AYI_11072022,BA.5,,2022-08-19 12:54:40,2022-07-10,2022-07-11,9,4,3
141,ANT_11082022,BA.5,,2022-09-16 14:04:53,2022-08-10,2022-08-11,9,5,3
142,ANT_15082022,undetermined,,2022-09-16 14:05:14,2022-08-14,2022-08-15,2,5,3
143,VAT_15082022,BA.5.2,,2022-09-16 14:05:42,2022-08-14,2022-08-15,9,7,3
144,VAT_11082022,BA.5.2.1,,2022-09-16 14:06:02,2022-08-10,2022-08-11,9,7,3
145,LAR_04082022,BA.5.2.1,,2022-09-16 14:06:28,2022-08-03,2022-08-04,9,6,3
146,LAR_22082022,BA.5,,2022-09-16 14:06:49,2022-08-21,2022-08-22,10,6,3
